X;Y;FID;Idaccident;Latitude;Longitude;Fecha;Hora;Cód_Regi;Región;Comuna;Tipo_Accid;Tipo__CONA;Zona;Ubicación;Causa;Causa__CON;Calle_Uno;Calle_Dos;Intersecci;Número;Calzada;Tipo_Calza;Estado_Cal;Condición;Estado_Atm;Fallecidos;Lesionados;Graves;Menos_Grav;Leves
-7,80861E+14;-2,30076E+14;911;1548516;-2023389;-70145915;27-07-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE FRONTAL;CHOQUE;URBANA;TRAMO DE VIA RECTA;CONDUCCION EN ESTADO DE EBRIEDAD;ALCOHOL EN CONDUCTOR;ARTURO PRAT; ;- ARTURO PRAT;2740;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80769E+14;-2,3005E+14;912;1548380;-20231689;-70137681;27-07-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION FRONTAL;COLISION;URBANA;TRAMO DE VIA RECTA;SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO;DESOBEDIENCIA A SEÑALIZACION;GENARO GALLO;PASTOR LORENZO PEREZ;GENARO GALLO - PASTOR LORENZO PEREZ;0;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;3;0;0;3
-7,80663E+14;-2,30167E+14;913;1548946;-20241603;-7012811;27-07-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION POR ALCANCE;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;IMPRUDENCIA DEL CONDUCTOR;LA TIRANA;PRIMERAS PIEDRAS;LA TIRANA - PRIMERAS PIEDRAS;0;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80384E+14;-2,30815E+14;914;1548326;-20296143;-70103046;27-07-2023 20:00;21:00:00;1;REGION TARAPACA;ALTO HOSPICIO;ATROPELLO;ATROPELLO;URBANA;CRUCE CON SEÑAL CEDA EL PASO;NO RESPETAR DERECHO PREFERENTE DE PASO A PEATON;IMPRUDENCIA DEL CONDUCTOR;UNION EUROPEA;GLADYS MARIN;GLADYS MARIN - UNION EUROPEA;0;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;1;0;0;1
-7,80624E+14;-2,30279E+14;915;1548291;-2025104;-70124678;27-07-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE FRONTAL;CHOQUE;URBANA;TRAMO DE VIA RECTA;FALLAS MECANICAS FRENOS;FALLAS MECANICAS;RAMON PEREZ OPAZO;GUATACONDO;GUATACONDO - RAMON PEREZ OPAZO;0;BIDIRECCIONAL CON BANDEJON;ASFALTO;REGULAR;SECO;DESPEJADO;0;0;0;0;0
-7,80706E+14;-2,30395E+14;916;1548479;-2026078;-70132021;27-07-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION;IMPRUDENCIA DEL CONDUCTOR;ARTURO PRAT; ;- ARTURO PRAT;3547;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;1;0;0;1
-7,80911E+14;-2,29903E+14;917;1548590;-20219294;-70150411;27-07-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;BULNES;OBISPO LABBE;BULNES - OBISPO LABBE;0;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80736E+14;-2,29903E+14;918;1548900;-20219322;-70134701;27-07-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION;IMPRUDENCIA DEL CONDUCTOR;PEDRO PRADO;O'HIGGINS;O'HIGGINS - PEDRO PRADO;0;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80651E+14;-2,30602E+14;919;1548651;-20278204;-70127079;28-07-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE POSTERIOR/POSTERIOR;CHOQUE;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;LA TIRANA;REINA MAR;LA TIRANA - REINA MAR;0;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80747E+14;-2,30038E+14;920;1548551;-20230703;-70135669;28-07-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;LA TIRANA;ROTONDA EL PAMPINO;LA TIRANA - ROTONDA EL PAMPINO;0;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80823E+14;-2,29989E+14;921;1548566;-20226596;-70142568;28-07-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION PERPENDICULAR;COLISION;URBANA;CRUCE CON SEÑAL CEDA EL PASO;SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO;DESOBEDIENCIA A SEÑALIZACION;21 DE MAYO;JOSE MIGUEL CARRERA;21 DE MAYO - JOSE MIGUEL CARRERA;0;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;1;1;0;0
-7,80301E+14;-2,30387E+13;922;1548396;-20260071;-70095606;29-07-2023 20:00;21:00:00;1;REGION TARAPACA;ALTO HOSPICIO;CHOQUE;CHOQUE;URBANA;TRAMO DE VIA RECTA;VELOCIDAD NO RAZONABLE NI PRUDENTE;VELOCIDAD IMPRUDENTE;LOS GLADIOLOS; ;- LOS GLADIOLOS;3867;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80767E+14;-2,30214E+13;923;1548717;-20245568;-70137453;30-07-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION;COLISION;URBANA;TRAMO DE VIA RECTA;SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO;DESOBEDIENCIA A SEÑALIZACION;MANUEL CASTRO RAMOS;PLAYA BRAVA;MANUEL CASTRO RAMOS - PLAYA BRAVA;0;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80719E+14;-2,29796E+14;924;1548666;-2021027;-7013314;30-07-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;LAS CABRAS;LUIS JASPARD;LAS CABRAS - LUIS JASPARD;0;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80389E+14;-2,30635E+14;925;1548347;-20280975;-70103556;30-07-2023 20:00;21:00:00;1;REGION TARAPACA;ALTO HOSPICIO;COLISION;COLISION;URBANA;TRAMO DE VIA CURVA HORIZONTAL;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;IMPRUDENCIA DEL CONDUCTOR;GABRIELA MISTRAL; ;- GABRIELA MISTRAL;1;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80775E+14;-2,30251E+14;926;1548867;-20248609;-70138211;31-07-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION FRONTAL;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;IMPRUDENCIA DEL CONDUCTOR;ARTURO PRAT;SANTIAGO POLANCO;ARTURO PRAT - SANTIAGO POLANCO;0;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80799E+14;-2,30142E+14;927;1548848;-20239475;-70140355;31-07-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION POR ALCANCE;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;TADEO HAENKE;GENARO GALLO;GENARO GALLO - TADEO HAENKE;0;BIDIRECCIONAL;ASFALTO;REGULAR;SECO;DESPEJADO;0;0;0;0;0
-7,80897E+14;-2,29811E+14;928;1548679;-2021155;-70149171;31-07-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;ESMERALDA;RAMIREZ;ESMERALDA - RAMIREZ;0;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80671E+14;-2,30124E+14;929;1548923;-20237974;-70128888;01-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;IMPRUDENCIA DEL CONDUCTOR;LA TIRANA;TADEO HAENKE;LA TIRANA - TADEO HAENKE;0;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80841E+14;-2,30128E+14;930;1548933;-20238243;-70144111;01-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION POR ALCANCE;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;IMPRUDENCIA DEL CONDUCTOR;TADEO HAENKE;HEROES DE LA CONCEPCION;HEROES DE LA CONCEPCION - TADEO HAENKE;0;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80754E+14;-2,29805E+14;931;1551428;-20211021;-70136352;01-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE FRENTE/LADO;CHOQUE;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;MOISES GONZALEZ;LUIS JASPARD;LUIS JASPARD - MOISES GONZALEZ;0;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80258E+14;-2,30574E+14;932;1549644;-20275836;-700918;02-08-2023 20:00;21:00:00;1;REGION TARAPACA;ALTO HOSPICIO;CHOQUE;CHOQUE;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;TENIENTE HERNAN MERINO CORREA;ANGEL PRIETO;ANGEL PRIETO - TENIENTE HERNAN MERINO CORREA;0;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80645E+13;-2,30288E+14;933;1549168;-20251741;-70126489;02-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION POR ALCANCE;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;CHIPANA;CERRO DRAGON;CERRO DRAGON - CHIPANA;0;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80957E+14;-2,29838E+14;934;1549582;-20213876;-70154564;04-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;VOLCADURA;VOLCADURA;URBANA;TRAMO DE VIA RECTA;CONDUCCION EN ESTADO DE EBRIEDAD;ALCOHOL EN CONDUCTOR;ARTURO PRAT; ;- ARTURO PRAT;706;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;1;1;0;0
-7,80682E+14;-2,30137E+14;935;1550059;-20239011;-70129892;04-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE POSTERIOR/LADO;CHOQUE;URBANA;TRAMO DE VIA RECTA;CONDUCCION EN ESTADO DE EBRIEDAD;ALCOHOL EN CONDUCTOR;SALITRERA VIRGINIA; ;- SALITRERA VIRGINIA;2904;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80905E+14;-2,29766E+14;936;1549578;-20207777;-70149886;04-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE LATERAL;CHOQUE;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;ARTURO PRAT;OBISPO LABBE;ARTURO PRAT - OBISPO LABBE;0;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80742E+14;-2,29905E+14;937;1549584;-20219488;-70135255;05-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE FRONTAL;CHOQUE;URBANA;TRAMO DE VIA RECTA;CONDUCCION EN ESTADO DE EBRIEDAD;ALCOHOL EN CONDUCTOR;BERNARDO O'HIGGINS; ;- BERNARDO O'HIGGINS;2057;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80898E+14;-2,30108E+14;938;1550126;-20236627;-70149305;05-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION LATERAL;COLISION;URBANA;ROTONDA;CONDUCCION CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION;IMPRUDENCIA DEL CONDUCTOR;ARTURO PRAT;FILOMENA VALENZUELA;ARTURO PRAT - FILOMENA VALENZUELA;0;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80665E+14;-2,30201E+14;939;1550150;-20244441;-7012829;06-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION LATERAL;COLISION;URBANA;CRUCE CON SEMAFORO APAGADO;SEÑALIZACION SEMAFORO MAL ESTADO O DEFICIENTE;DEFICIENCIAS VIALES;LA TIRANA;MANUEL CASTRO RAMOS;LA TIRANA - MANUEL CASTRO RAMOS;0;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80692E+14;-2,30415E+14;940;1550140;-20262506;-70130789;06-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;ARTURO PRAT;PADRE HURTADO;ARTURO PRAT - PADRE HURTADO;0;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80704E+14;-2,29976E+14;941;1550939;-20225473;-70131847;06-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION FRONTAL;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;ELIAS LAFERTE; ;- ELIAS LAFERTE;1834;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;1;0;1;0
-7,80834E+14;-2,30126E+14;942;1550038;-20238143;-70143536;06-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE POSTERIOR;CHOQUE;URBANA;OTROS NO CONSIDERADOS;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;TADEO HAENKE; ;- TADEO HAENKE;1808;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80829E+14;-2,29898E+14;943;1550953;-20218861;-70143102;07-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;BERNARDO O'HIGGINS;18 DE SEPTIEMBRE;18 DE SEPTIEMBRE - BERNARDO O'HIGGINS;0;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80841E+14;-2,30128E+14;944;1550401;-20238243;-70144111;07-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE FRONTAL;CHOQUE;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;TADEO HAENKE;HEROES DE LA CONCEPCION;HEROES DE LA CONCEPCION - TADEO HAENKE;0;BIDIRECCIONAL CON BANDEJON;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80897E+14;-2,29819E+14;945;1550955;-20212231;-70149198;07-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;COLISION LATERAL;COLISION;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;BOLIVAR;RAMIREZ;BOLIVAR - RAMIREZ;0;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80786E+14;-2,2988E+14;946;1550945;-20217392;-70139184;07-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;ATROPELLO;ATROPELLO;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;HEROES DE LA CONCEPCION;ALMIRANTE LATORRE;ALMIRANTE LATORRE - HEROES DE LA CONCEPCION;0;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;1;0;1;0
-7,80924E+14;-2,29947E+14;947;1550960;-20223043;-70151589;07-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE FRONTAL;CHOQUE;URBANA;TRAMO DE VIA RECTA;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;ARTURO PRAT;PATRICIO LYNCH;ARTURO PRAT - PATRICIO LYNCH;0;BIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;0;0;0;0
-7,80328E+13;-2,30551E+14;948;1551391;-20273915;-70098075;07-08-2023 20:00;21:00:00;1;REGION TARAPACA;ALTO HOSPICIO;COLISION;COLISION;URBANA;CRUCE CON SEMAFORO FUNCIONANDO;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;IMPRUDENCIA DEL CONDUCTOR;LOS CONDORES;EL SALITRE;EL SALITRE - LOS CONDORES;0;UNIDIRECCIONAL;ASFALTO;BUENO;SECO;DESPEJADO;0;2;0;1;1
-7,8065E+13;-2,30674E+14;949;1551112;-20284316;-70127;08-08-2023 20:00;21:00:00;1;REGION TARAPACA;IQUIQUE;CHOQUE FRONTAL;CHOQUE;URBANA;TRAMO DE VIA RECTA;VELOCIDAD NO RAZONABLE NI PRUDENTE;VELOCIDAD IMPRUDENTE;LA TIRANA;VIA CINCO;LA TIRANA - VIA CINCO;0;BIDIRECCIONAL CON BANDEJON;ASFALTO;REGULAR;SECO;DESPEJADO;0;0;0;0;0
