X;Y;FID;FID_1;LABELID;POINT_X;POINT_Y;FID_2;COMUNAREAL;VAL_COM;OBJECTID;A_O;IDACCIDENT;REGION;COD_COMUN;COMUNA;CALLE_UNO;CALLE_DOS;NUMERO;DIR_GEOCOD;PAIS;TIPO;OBJECTID_1;Año;Idaccide_1;Claseaccid;Fecha;Hora;Cód_Regi;Región;Cód_Comun;Comuna_1;Cód_Tipo_;Tipo_Accid;Cód_Tipo1;Tipo__CONA;Cód_Zona;Zona;Cód_Ubica;Ubicación;Cód_Causa;Causa__CON;Cód_Cau_1;Causa;Cód_Calle;Calle_Un_1;Cód_Cal_1;Calle_Do_1;Intersecci;Número;Ruta;Cód_Ruta;Ubicaci_1;Km_Vía_Fe;Pistas_de_;Pistas_de1;Cód_Calza;Calzada;Cód__Tipo;Tipo_Calza;Cód_Estad;Estado_Cal;Cód_Condi;Condición;Cód_Est_1;Estado_Atm;Fallecidos;Graves;Menos_Grav;Leves;Ilesos
-7,807E+14;-2,30323E+14;1509;14652;1337704;-701315101;-202547413;258;IQUIQUE;1;9971;2021;1337704;REGION TARAPACA;1101;IQUIQUE;SALVADOR ALLENDE; ;3419;SALVADOR ALLENDE 3419, IQUIQUE;CHILE;RANGE_INTERPOLATED;13877;2021;1337704;1;11-03-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;30;COLISION;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;SALVADOR ALLENDE;0; ;- SALVADOR ALLENDE;3419; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;3
-7,80718E+14;-2,30323E+14;1510;14653;1394516;-701330683;-202546795;258;IQUIQUE;1;49447;2021;1394516;REGION TARAPACA;1101;IQUIQUE;JOSE FRANCISCO VERGARA; ;3387;JOSE FRANCISCO VERGARA 3387, IQUIQUE;CHILE;RANGE_INTERPOLATED;67378;2021;1394516;1;09-11-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;64;CHOQUE LADO/FRENTE;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;JOSE FRANCISCO VERGARA;0; ;- JOSE FRANCISCO VERGARA;3387; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;3
-7,80675E+14;-2,3032E+14;1511;14654;1395822;-701292569;-202544454;258;IQUIQUE;1;50488;2021;1395822;REGION TARAPACA;1101;IQUIQUE;SALVADOR ALLENDE;QUINTA SUR;0;SALVADOR ALLENDE & QUINTA SUR, IQUIQUE;CHILE;GEOMETRIC_CENTER;68764;2021;1395822;1;14-11-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;69;CHOQUE POSTERIOR/POSTERIOR;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;SALVADOR ALLENDE;0;QUINTA SUR;QUINTA SUR - SALVADOR ALLENDE;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,8064E+14;-2,30318E+14;1512;14655;1334255;-701260602;-202543166;258;IQUIQUE;1;7795;2021;1334255;REGION TARAPACA;1101;IQUIQUE;CIRCUNVALACION;LA TIRANA;0;CIRCUNVALACION & LA TIRANA, IQUIQUE;CHILE;GEOMETRIC_CENTER;10938;2021;1334255;1;25-02-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;32;COLISION LATERAL;30;COLISION;1;URBANA;24;ROTONDA;1;IMPRUDENCIA DEL CONDUCTOR;28;CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE;0;CIRCUNVALACION;0;LA TIRANA;CIRCUNVALACION - LA TIRANA;0; ; ;; ;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80697E+14;-2,30317E+14;1513;14656;1349935;-701311625;-202542461;258;IQUIQUE;1;18567;2021;1349935;REGION TARAPACA;1101;IQUIQUE;RAMON PEREZ OPAZO; ;3398;RAMON PEREZ OPAZO 3398, IQUIQUE;CHILE;RANGE_INTERPOLATED;25534;2021;1349935;1;17-05-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;68;CHOQUE POSTERIOR/LADO;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;RAMON PEREZ OPAZO;0; ;- RAMON PEREZ OPAZO;3398; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80688E+14;-2,30312E+14;1514;14657;1400786;-701303782;-202537568;258;IQUIQUE;1;53722;2021;1400786;REGION TARAPACA;1101;IQUIQUE;RAMON PEREZ OPAZO;PAMPA GERMANIA;0;RAMON PEREZ OPAZO & PAMPA GERMANIA, IQUIQUE;CHILE;GEOMETRIC_CENTER;73010;2021;1400786;1;01-12-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;70;VOLCADURA;70;VOLCADURA;1;URBANA;1;TRAMO DE VIA RECTA;9;PERDIDA CONTROL VEHICULO;95;PERDIDA CONTROL VEHICULO;0;RAMON PEREZ OPAZO;0;PAMPA GERMANIA;PAMPA GERMANIA - RAMON PEREZ OPAZO;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;1;1
-7,80679E+14;-2,30308E+14;1515;14659;1364272;-701296315;-20253475;258;IQUIQUE;1;28303;2021;1364272;REGION TARAPACA;1101;IQUIQUE;RAMON PEREZ OPAZO;RANCAGUA;0;RAMON PEREZ OPAZO & RANCAGUA, IQUIQUE;CHILE;GEOMETRIC_CENTER;39093;2021;1364272;1;16-07-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;70;VOLCADURA;70;VOLCADURA;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;RAMON PEREZ OPAZO;0;RANCAGUA;RAMON PEREZ OPAZO - RANCAGUA;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;2;2
-7,80679E+14;-2,30308E+14;1516;14660;1409863;-701296315;-20253475;258;IQUIQUE;1;59024;2021;1409863;REGION TARAPACA;1101;IQUIQUE;RANCAGUA;RAMON PEREZ OPAZO;0;RANCAGUA & RAMON PEREZ OPAZO, IQUIQUE;CHILE;GEOMETRIC_CENTER;80206;2021;1409863;1;28-12-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;31;COLISION FRONTAL;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;RANCAGUA;0;RAMON PEREZ OPAZO;RAMON PEREZ OPAZO - RANCAGUA;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;1;0;0;1
-7,80719E+14;-2,30308E+14;1517;14661;1331622;-70133197;-202534583;258;IQUIQUE;1;6041;2021;1331622;REGION TARAPACA;1101;IQUIQUE;MANUEL JESUS SILVA;JOSE FRANCISCO VERGARA;0;MANUEL JESUS SILVA & JOSE FRANCISCO VERGARA, IQUIQUE;CHILE;GEOMETRIC_CENTER;8426;2021;1331622;1;12-02-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;32;COLISION LATERAL;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;MANUEL JESUS SILVA;0;JOSE FRANCISCO VERGARA;JOSE FRANCISCO VERGARA - MANUEL JESUS SILVA;0; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
-7,80661E+14;-2,30304E+13;1518;14663;1377851;-70127975;-202531251;258;IQUIQUE;1;37762;2021;1377851;REGION TARAPACA;1101;IQUIQUE;LAS PIZARRAS; ;3412;LAS PIZARRAS 3412, IQUIQUE;CHILE;RANGE_INTERPOLATED;51902;2021;1377851;1;07-09-2021;21:00:00;1;REGION TARAPACA;1101;IQUIQUE;62;CHOQUE FRENTE/LADO;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;14;OTRAS CAUSAS;98;OTRAS CAUSAS;0;LAS PIZARRAS;0; ;- LAS PIZARRAS;3412; ; ;; ;2;0;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2
