X;Y;FID;POINT_X;POINT_Y;Idaccident;Año;Claseaccid;Fecha;Cód_Regi;Región;Cód_Comun;Comuna;Cód_Tipo;Tipo_Accid;Cód_Tip_1;Tipo__CONA;Cód_Zona;Zona;Cód_Ubica;Ubicación;Cód_Causa;Causa;Cód_Cau_1;Causa__CON;Cód_Calle;Calle_Uno;Cód_Cal_1;Calle_Dos;Intersecci;Número;Ruta;Cód_Ruta;Ubicaci_1;Pistas_de;Pistas_d_1;Cód_Calza;Calzada;Cód__Tipo;Tipo_Calza;Cód_Estad;Estado_Cal;Cód_Condi;Condición;Cód_Est_1;Estado_Atm;Fallecidos;Graves;Menos_Grav;Leves;Ilesos;Hora
-7,80795E+14;-2,30132E+14;709;-70140028;-20238592;1461157;2022;1;20-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;31;COLISION FRONTAL;30;COLISION;1;URBANA;1;TRAMO DE VIA RECTA;24;CONDUCCION EN ESTADO DE EBRIEDAD;4;ALCOHOL EN CONDUCTOR;0;LA CONCORDIA;0;GENARO GALLO;GENARO GALLO - LA CONCORDIA;0;0;0;0;1;1;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;1;1;4:30:00
-7,80885E+14;-2,29864E+14;710;-70148126;-20216053;1461488;2022;1;21-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;62;CHOQUE FRENTE/LADO;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;SARGENTO ALDEA;0;0;- SARGENTO ALDEA;739;0;0;0;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2;10:50:00
-7,80728E+14;-2,30006E+14;711;-70134014;-20227974;1461492;2022;1;21-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;62;CHOQUE FRENTE/LADO;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;14 ORIENTE;0;TOMAS BONILLA;14 ORIENTE - TOMAS BONILLA;0;0;0;0;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2;18:30:00
-7,80797E+14;-2,29869E+14;712;-7014022;-20216444;1461497;2022;1;22-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;62;CHOQUE FRENTE/LADO;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;OSCAR BONILLA;0;0;- OSCAR BONILLA;831;0;0;0;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;1;0;16:00:00
-7,80673E+14;-2,30027E+14;713;-70129014;-20229778;1461587;2022;1;22-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;34;COLISION PERPENDICULAR;30;COLISION;1;URBANA;16;CRUCE SIN SEÑALIZACION;91;VIRAJES INDEBIDOS;1;IMPRUDENCIA DEL CONDUCTOR;0;LA TIRANA;0;BERNARDINO GUERRA;BERNARDINO GUERRA - LA TIRANA;0;0;0;0;2;2;3;BIDIRECCIONAL CON BANDEJON;2;ASFALTO;1;BUENO;1;SECO;2;NUBLADO;0;0;0;0;2;22:30:00
-7,80646E+14;-2,3049E+14;714;-70126615;-2026878;1461668;2022;1;22-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;64;CHOQUE LADO/FRENTE;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;29;CONDUCCION CAMBIAR SORPRESIVAMENTE PISTA CIRCULACION;1;IMPRUDENCIA DEL CONDUCTOR;0;FRANCISCO BILBAO;0;TERESA WILMS MONTT;FRANCISCO BILBAO - TERESA WILMS MONTT;0;0;0;0;2;2;2;BIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2;20:10:00
-7,80853E+14;-2,30154E+14;715;-70145178;-20240444;1461673;2022;1;22-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;34;COLISION PERPENDICULAR;30;COLISION;1;URBANA;26;OTROS NO CONSIDERADOS;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;ARTURO PRAT;0;0;- ARTURO PRAT;1656;0;0;0;2;2;3;BIDIRECCIONAL CON BANDEJON;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;1;0;0;1;18:30:00
-7,80762E+12;-2,30156E+14;716;-70137025;-202406;1461748;2022;1;23-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;32;COLISION LATERAL;30;COLISION;1;URBANA;24;ROTONDA;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;TADEO HAENKE;0;ARTURO PRAT;ARTURO PRAT - TADEO HAENKE;0;0;0;0;2;2;3;BIDIRECCIONAL CON BANDEJON;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;2;19:10:00
-7,80897E+14;-2,29762E+14;717;-70149149;-20207447;1461786;2022;1;23-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;51;CHOQUE FRONTAL;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;27;CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO;1;IMPRUDENCIA DEL CONDUCTOR;0;ARTURO PRAT;0;0;- ARTURO PRAT;706;0;0;0;2;2;3;BIDIRECCIONAL CON BANDEJON;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;0;1;13:55:00
-7,80754E+14;-2,30004E+14;718;-701363;-20227851;1461816;2022;1;23-07-2022 20:00;1;REGION TARAPACA;1101;IQUIQUE;53;CHOQUE POSTERIOR;40;CHOQUE;1;URBANA;1;TRAMO DE VIA RECTA;24;CONDUCCION EN ESTADO DE EBRIEDAD;4;ALCOHOL EN CONDUCTOR;0;GALVARINO;0;TOMAS BONILLA;GALVARINO - TOMAS BONILLA;0;0;0;0;2;0;1;UNIDIRECCIONAL;2;ASFALTO;1;BUENO;1;SECO;1;DESPEJADO;0;0;0;1;1;12:00:00
