Direccion,LATITUD,LONGITUD
"IQUIQUE, CIRCUNVALACION, MANZANA 5",-20.230544,-70.129033
"IQUIQUE, MAULE, LAS CARPAS",-20.2374095,-70.1293885
"IQUIQUE, SALVADOR ALLENDE, RAMON PEREZ OPAZO",-20.2542691,-70.1314071
"POZO ALMONTE, comercio con calle cascada, 0.0",-20.2570503,-69.7857064
"IQUIQUE, LOS MAITENES, ORELLA",-20.2213609,-70.1334644
"IQUIQUE, OBISPO LABBE, RIQUELME",-20.2213589,-70.1504909
"IQUIQUE, 18 DE SEPTIEMBRE, SARGENTO ALDEA",-20.2161654,-70.142953
"IQUIQUE, SOTOMAYOR, AVENIDA PRAT",-20.2111333,-70.1416166
PICA,,
"IQUIQUE, SANTIAGO POLANCO, YABRICOYA",-20.2473355,-70.1356494
"PICA, la banda con las animas, 0.0",,
PICA,,
IQUIQUE,-20.2307033,-70.1356692
ALTO HOSPICIO,-20.2686722,-70.1049169
"IQUIQUE, 18 DE SEPTIEMBRE, ORELLA",-20.2208235,-70.1432206
"IQUIQUE, ORELLA, BARROS ARANA",-20.2205893,-70.147605
"IQUIQUE, AV. HEROES DE LA CONCEPCION, LATORRE",-20.2265534,-70.1400001
ALTO HOSPICIO,-20.2686722,-70.1049169
"IQUIQUE, AV. HÉROES DE LA CONCEPCIÓN, ORELLA",-20.2210371,-70.1394955
"IQUIQUE, SOTOMAYOR, 657.0",-20.2111333,-70.1416166
"IQUIQUE, AV. LA TIRANA, PJE. VALLE VERDE",-20.2543166,-70.1260602
IQUIQUE,-20.2307033,-70.1356692
"IQUIQUE, RAMIREZ, GOROSTIAGA",-20.2168749,-70.1494213
"IQUIQUE, AV. PEDRO PRADO, 2345.0",-20.2396655,-70.1345536
"IQUIQUE, GENARO GALLO, LAS ROSAS",-20.2373067,-70.139562
POZO ALMONTE,-20.2570503,-69.7857064
"ALTO HOSPICIO, SALITRERA ROSARIO, 2988.0",-20.2721787,-70.1023937
"IQUIQUE, AVD. LA TIRANA, 2913.0",-20.2543166,-70.1260602
"IQUIQUE, MANUEL RODRIGUEZ, 18 DE SEPTIEMBRE",-20.2236,-70.1434542
"IQUIQUE, OSCAR BONILLA, PASAJE 2",-20.2264987,-70.1411131
"IQUIQUE, AVDA. ARTURO PRAT, 4200.0",-20.2484469,-70.1381101
"IQUIQUE, LAS ZAMPOÑAS, PEDRO DE VALDIVIA",-20.2339293,-70.1340386
"IQUIQUE, AVDA. CERRO DRAGÓN, EL MONTE",-20.2455526,-70.1292691
"IQUIQUE, ESMERALDA, RAMIREZ",-20.2307033,-70.1356692
POZO ALMONTE,-20.2570503,-69.7857064
POZO ALMONTE,-20.2570503,-69.7857064
IQUIQUE,-20.2307033,-70.1356692
"IQUIQUE, SANTIAGO POLANCO, AVDA. PLAYA BRAVA",-20.2478923,-70.1368759
"IQUIQUE, AVDA. LA TIRANA, 1582.0",-20.2543166,-70.1260602
POZO ALMONTE,-20.2570503,-69.7857064
"IQUIQUE, AVDA. FRANCISCO VERGARA, RAMON OPAZO",-20.255036,-70.1327603
IQUIQUE,-20.2307033,-70.1356692
"IQUIQUE, AVDA. CASTRI RAMOS, AVDA. CERRO DRAGON",-20.2443662,-70.129305
COLCHANE,-19.2761393,-68.6388049
"ALTO HOSPICIO, AVDA. CIRCUNVALACION CRUCE CON CALLE SAN PABLO, AVDA. CIRCUNVALACION CRUCE CON CALLE SAN PALBO",-20.2686722,-70.1049169
"IQUIQUE, 21 DE MAYO, LATORRE",-20.2307033,-70.1356692
IQUIQUE,-20.2307033,-70.1356692
"IQUIQUE, ELIAS LAFERTE, ORELLA",-20.2307033,-70.1356692
PICA,,
