Direccion,Latitud,Longitud
"ALTO HOSPICIO, Salitrera ROSARIO, 2988",-20.2713462,-70.1020473
"IQUIQUE, Avenida La Tirana 2913",-20.2388841,-70.1288631
"IQUIQUE, MANUEL RODRIGUEZ, 18 DE SEPTIEMBRE",-20.2236,-70.1434542
"IQUIQUE, OSCAR BONILLA, PASAJE 2",-20.2264987,-70.1411131
"IQUIQUE, Avenida Arturo Prat 4200",-20.2674582,-70.1294224
"IQUIQUE, LAS ZAMPOÑAS, PEDRO DE VALDIVIA",-20.2339293,-70.1340386
"IQUIQUE, Avenida Cerro Dragón EL MONTE",-20.2455526,-70.1292691
"IQUIQUE, ESMERALDA, RAMIREZ",-20.2307033,-70.1356692
"IQUIQUE, SANTIAGO POLANCO, Avenida PLAYA BRAVA",-20.2478923,-70.1368759
"IQUIQUE, Avenida La Tirana 1582",-20.2241521,-70.1313395
"IQUIQUE, Avenida FRANCISCO VERGARA, RAMON OPAZO",-20.255036,-70.1327603
"IQUIQUE, Avenida CASTRI RAMOS, Avenida Cerro Dragón",-20.2443662,-70.129305
"ALTO HOSPICIO, Avenida Circunvalación CRUCE CON CALLE SAN PABLO, Avenida Circunvalación CRUCE CON CALLE SAN PALBO",-20.2686722,-70.1049169
"IQUIQUE, 21 DE MAYO, LATORRE",-20.2307033,-70.1356692
"IQUIQUE, ELIAS LAFERTE, ORELLA",-20.2307033,-70.1356692
"ALTO HOSPICIO, Avenida LOS ALAMSO CON Avenida Circunvalación, Avenida Circunvalación CON Avenida Los Alamos",-20.2722788,-70.1097974
"IQUIQUE, Salitrera VICTORIA, MAPOCHO",-20.2049542,-70.1369169
"IQUIQUE, BULNES, AMUNÁTEGUI",-20.2195518,-70.1467191
"IQUIQUE, CHINTAGUAY, Avenida PEDRO PRADO",-20.226475,-70.1352834
"POZO ALMONTE, BALMACEDA, 250",-20.2598135,-69.7865946
"POZO ALMONTE, SANFUENTES, 700",-20.2570503,-69.7857064
"IQUIQUE, 21 DE MAYO, ORELLA",-20.2208923,-70.1421601
"IQUIQUE, CESPEDES Y GONZÁLEZ, GENARO GALLO",-20.2249004,-70.1370717
"IQUIQUE, ESMERALDA, AMUNATEGUI",-20.2176315,-70.1465983
"IQUIQUE, Avenida PRAT, JOSÉ MIGUEL CARRERA",-20.2414367,-70.1342598
"IQUIQUE, 12 DE FEBRERO, TARAPACA",-20.2198336,-70.1414293
"ALTO HOSPICIO, HUNATAJAYA CON LOS MANZANOS, 2590",-20.2623469,-70.1047977
"IQUIQUE, Avenida Arturo Prat 2330",-20.2313416,-70.1459692
"IQUIQUE, BULNES, JUAN MARTINEZ",-20.219616,-70.1454426
"IQUIQUE, Avenida CAMPOS DE DEPORTE, BOMBERO JUAN GIRAO",-20.2254732,-70.1318466
"IQUIQUE, BARROS ARANA, SAN MARTIN",-20.2127018,-70.1471204
"IQUIQUE, Avenida SANTIAGO POLANCO, Avenida PLAYA BRAVA",-20.2478923,-70.1368759
"IQUIQUE, Avenida PEDRO PRADO, OHIGGINS",-20.2193218,-70.1347013
"IQUIQUE, Avenida PRAT, Avenida PLAYA BRAVA",-20.244478,-70.1410328
"IQUIQUE, Avenida PRAT, Avenida HEROES Heroes de la Concepcion",-20.2414367,-70.1342598
"IQUIQUE, Avenida La Tirana, Avenida La Tirana",-20.2543166,-70.1260602
"IQUIQUE, OHIGGINS, Avenida HEROES Heroes de la Concepcion",-20.2414367,-70.1342598
"ALTO HOSPICIO, LOS ALOMSO CON LOS ALMENDROS, 2790",-20.2556598,-70.1069637
"IQUIQUE, PEDRO GAMBONI, Avenida PEDRO PRADO",-20.2364664,-70.1360525
"POZO ALMONTE, ESTACION, 5",-20.2612535,-69.7846354
"IQUIQUE, ZEGERS, JUAN MARTINESZ",-20.217696,-70.1452689
"IQUIQUE, Avenida SANTIAGO POLANCO, Avenida Arturo Prat",-20.2486089,-70.1382111
"IQUIQUE, LOS ALGARROBOS, 3238",-20.25001,-70.12631
"IQUIQUE, TUCAPEL, 2446",-20.2401532,-70.1339695
"IQUIQUE, Avenida PEDRO PRADO, BULNES",-20.2201814,-70.1349026
"ALTO HOSPICIO, LORETO PINEDA, 3007",-20.2833296,-70.1039885
"ALTO HOSPICIO, Jerusalen 3954",-20.2686722,-70.1049169
"IQUIQUE, CARDENAL JOSE CARDENAL CARO, PJE. VIA LOCAL",-20.2641213,-70.1252803
"ALTO HOSPICIO, Avenida Las Americas CON CANADA, 31",-20.2686722,-70.1049169
"ALTO HOSPICIO, LOS GUINDALES CON LOS KIWIS, 2590",-20.2638074,-70.1077772
"ALTO HOSPICIO, SANTA ROSA DE HUARA, 25",-20.2720577,-70.0876548
"IQUIQUE, BERNARDINO GUERRA, 13 ORIENTE",-20.2296924,-70.134465
"ALTO HOSPICIO, CERRO ESMERALDA, 2976",-20.2721122,-70.1000249
"ALTO HOSPICIO, Avenida LOS AROMOS, 2328",-20.2729531,-70.0931598
"IQUIQUE, Avenida La Tirana Avenida Arturo Prat",-20.2543166,-70.1260602
"IQUIQUE, Avenida PRAT, 2120",-20.2440011,-70.1407861
"IQUIQUE, JUAN MARTINEZ, ZEGERS",-20.2307033,-70.1356692
"ALTO HOSPICIO, RICARDO LAGOS CON OVALLE, 2450",-20.2788894,-70.082582
"IQUIQUE, Avenida La Tirana CASTRO RAMOS",-20.2444412,-70.1282904
"IQUIQUE, ANIBAL PINTO, BULNES",-20.2167578,-70.1528862
"IQUIQUE, Cerro Dragón MAULE",-20.2374931,-70.1298787
"ALTO HOSPICIO, Avenida Las Americas CON CARMELA CARVAJAL, 3000",-20.2800542,-70.1007563
"IQUIQUE, Avenida PROGRESO, CESPEDES Y GONZALEZ",-20.2251209,-70.1331427
"ALTO HOSPICIO, Avenida LAS PARCELAS, 20",-20.2728431,-70.0920644
"IQUIQUE, Avenida PEDRO PRADO, ORELLA",-20.2212841,-70.1348904
"IQUIQUE, ZEGERS, Avenida HEROES Heroes de la Concepcion",-20.2414367,-70.1342598
"IQUIQUE, ZEGERS, VIVAR",-20.2175284,-70.1487847
"IQUIQUE, JOSE JOAQUIN PEREZ, Avenida PEDRO PRADO",-20.2229938,-70.135099
"IQUIQUE, ESMERALDA, ERRAZURIZ",-20.2118422,-70.1432225
"IQUIQUE, AMUNATEGUI, CESPEDES Y GONZALEZ",-20.2244134,-70.14698
"IQUIQUE, 18 DE SEPTIEMBRE, SAN MARTIN",-20.2307033,-70.1356692
"IQUIQUE, Avenida Arturo Prat SOTOMAYOR",-20.2109307,-70.1514957
"ALTO HOSPICIO, ANTOFAGASTA CON PASAJE TALCA, 45",-20.2759861,-70.0810375
"ALTO HOSPICIO, LAS AVELLANAS CON LA NORIA, 2890",-20.268972,-70.1069944
"IQUIQUE, Avenida Arturo Prat Avenida CHIPANA",-20.244478,-70.1410328
"IQUIQUE, Avenida Arturo Prat Avenida AEROPUERTO",-20.2414367,-70.1342598
"IQUIQUE, CHANON, ALEJANDRIA",-20.2055919,-70.1335815
"IQUIQUE, PLAYA BLANCA, RANCAGUA",-20.2307033,-70.1356692
"IQUIQUE, Avenida La Tirana PRESITENTE EDUARDO FREI MONTALVA",-20.2580681,-70.1253626
"IQUIQUE, JUAN MARTINEZ, 464",-20.2134552,-70.1447043
"ALTO HOSPICIO, LOS KIWIS CON LOS TAMARUGOS, 2790",-20.2718192,-70.104678
"IQUIQUE, SARGENTO ALDEA, 10 ORIENTE",-20.2164258,-70.1358155
"IQUIQUE, Avenida CHIPANA, GUATACONDO",-20.2516152,-70.1244401
"IQUIQUE, 21 DE MAYO, HERNAN FUENZALIDAD",-20.2286595,-70.1427026
"IQUIQUE, OHIGGINS, ELEUTERIO RAMIREZ",-20.2184918,-70.1494876
"IQUIQUE, VIVAR, 1214",-20.21975,-70.1487933
"IQUIQUE, TARAPACA, OSCAR BONILLA",-20.2194645,-70.1403842
"POZO ALMONTE, estacion con pampa germania, 0",-20.2613588,-69.7846368
"IQUIQUE, SERRANO, PATRICIO LYNCH",-20.2130592,-70.1513845
"IQUIQUE, OHIGGINS, Avenida PEDRO PRADO",-20.2193218,-70.1347013
"IQUIQUE, Avenida Cerro Dragón 3155",-20.247171,-70.1295565
"IQUIQUE, ZEGERS, AMUNATEGUI",-20.2176315,-70.1465983
"IQUIQUE, RUTA A-1, 400",-20.2414367,-70.1342598
"IQUIQUE, 2 ORIENTE, 4 SUR",-20.2742676,-70.1241236
"IQUIQUE, Avenida Cerro Dragón GOMEZ CARREÑO",-20.2330057,-70.1302175
"ALTO HOSPICIO, NACIONES UNIDAS CON SAN FERNANDO, 87",-20.2686722,-70.1049169
"IQUIQUE, Avenida Salvador Allende Avenida JOSE MIGUEL CARRERA",-20.2269962,-70.1354064
"IQUIQUE, THOMPSON, 21 DE MAYO",-20.2153669,-70.1418343
"IQUIQUE, JUAN MARTINEZ, LATORRE",-20.2169534,-70.1451921
"IQUIQUE, AV.PEDRO PRADO, Avenida P.PRADO",-20.2653648,-70.1252091
"IQUIQUE, RAMIREZ, MANUEL RODRIGUEZ",-20.2233541,-70.1497193
"IQUIQUE, PATRICIO LYNCH, JOSE JOAQUIN PEREZ",-20.2223397,-70.1515796
"IQUIQUE, ANIBAL PINTO, OHIGGINS",-20.2182824,-70.1529419
"IQUIQUE, CAMPOS ORIENTE, Avenida P. PRADO",-20.2414367,-70.1342598
"IQUIQUE, OBISPO LABBE, RIQUELME",-20.2213589,-70.1504909
"ALTO HOSPICIO, Avenida Las Americas CON FINLANDIA, 40",-20.2686722,-70.1049169
"IQUIQUE, TARAPACA, ELEUTERIO RAMIREZ",-20.2184918,-70.1494876
"IQUIQUE, 21 DE MAYO, 1203",-20.2414367,-70.1342598
"IQUIQUE, Avenida HERLA CONCEPCIONOES DE",-20.2414367,-70.1342598
"IQUIQUE, LAS ROSAS, GENARO GALLO",-20.2373067,-70.139562
"IQUIQUE, Avenida La Tirana Tadeo Haenke",-20.2382135,-70.1286667
"IQUIQUE, JUAN MARTINEZ, SERRANO",-20.2193478,-70.1454167
