X,Y,FID,FID_1,LABELID,POINT_X,POINT_Y,FID_2,COMUNAREAL,VAL_COM,OBJECTID,A_O,IDACCIDENT,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,PAIS,TIPO,OBJECTID_1,Año,Idaccide_1,Claseaccid,Fecha,Hora,Cód_Regi,Región,Cód_Comun,Comuna_1,Cód_Tipo_,Tipo_Accid,Cód_Tipo1,Tipo__CONA,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Causa,Causa__CON,Cód_Cau_1,Causa,Cód_Calle,Calle_Un_1,Cód_Cal_1,Calle_Do_1,Intersecci,Número,Ruta,Cód_Ruta,Ubicaci_1,Km_Vía_Fe,Pistas_de_,Pistas_de1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Cód_Estad,Estado_Cal,Cód_Condi,Condición,Cód_Est_1,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,Ilesos
-7807430.91427446,-2299129.54433671,831,15362,1359193,-70.1353452,-20.2201543,258,IQUIQUE,1,25217,2021,1359193,REGION TARAPACA,1101,IQUIQUE,SALVADOR ALLENDE,MANUEL BULNES,0,"SALVADOR ALLENDE & MANUEL BULNES, IQUIQUE",CHILE,GEOMETRIC_CENTER,34864,2021,1359193,1,2021/06/29 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,63,CHOQUE FRENTE/POSTERIOR,40,CHOQUE,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,SALVADOR ALLENDE,0,MANUEL BULNES,MANUEL BULNES - SALVADOR ALLENDE,0, , , , ,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
-7807430.91427446,-2299129.54433671,832,15363,1363525,-70.1353452,-20.2201543,258,IQUIQUE,1,27966,2021,1363525,REGION TARAPACA,1101,IQUIQUE,MANUEL BULNES,SALVADOR ALLENDE,0,"MANUEL BULNES & SALVADOR ALLENDE, IQUIQUE",CHILE,GEOMETRIC_CENTER,38636,2021,1363525,1,2021/07/15 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,32,COLISION LATERAL,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,MANUEL BULNES,0,SALVADOR ALLENDE,MANUEL BULNES - SALVADOR ALLENDE,0, , , , ,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,2,NUBLADO,0,0,0,0,1
-7807430.91427446,-2299129.54433671,833,15364,1366429,-70.1353452,-20.2201543,258,IQUIQUE,1,30225,2021,1366429,REGION TARAPACA,1101,IQUIQUE,BULNES,SALVADOR ALLENDE,0,"BULNES & SALVADOR ALLENDE, IQUIQUE",CHILE,GEOMETRIC_CENTER,41778,2021,1366429,1,2021/07/29 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,51,CHOQUE FRONTAL,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,4,ALCOHOL EN CONDUCTOR,24,CONDUCCION EN ESTADO DE EBRIEDAD,0,BULNES,0,SALVADOR ALLENDE,BULNES - SALVADOR ALLENDE,0, , , , ,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,0
-7807430.91427446,-2299129.54433671,834,15365,1370497,-70.1353452,-20.2201543,258,IQUIQUE,1,32610,2021,1370497,REGION TARAPACA,1101,IQUIQUE,BULNES,SALVADOR ALLENDE,0,"BULNES & SALVADOR ALLENDE, IQUIQUE",CHILE,GEOMETRIC_CENTER,44986,2021,1370497,1,2021/08/10 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,33,COLISION POR ALCANCE,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,13,CAUSAS NO DETERMINADAS,97,CAUSAS NO DETERMINADAS,0,BULNES,0,SALVADOR ALLENDE,BULNES - SALVADOR ALLENDE,0, , , , ,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
-7807430.91427446,-2299129.54433671,835,15366,1376447,-70.1353452,-20.2201543,258,IQUIQUE,1,37031,2021,1376447,REGION TARAPACA,1101,IQUIQUE,SALVADOR ALLENDE,BULNES,0,"SALVADOR ALLENDE & BULNES, IQUIQUE",CHILE,GEOMETRIC_CENTER,50931,2021,1376447,1,2021/09/04 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,32,COLISION LATERAL,30,COLISION,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,13,CAUSAS NO DETERMINADAS,97,CAUSAS NO DETERMINADAS,0,SALVADOR ALLENDE,0,BULNES,BULNES - SALVADOR ALLENDE,0, , , , ,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
-7807430.91427446,-2299129.54433671,836,15367,1396280,-70.1353452,-20.2201543,258,IQUIQUE,1,50927,2021,1396280,REGION TARAPACA,1101,IQUIQUE,BULNES,SALVADOR ALLENDE,0,"BULNES & SALVADOR ALLENDE, IQUIQUE",CHILE,GEOMETRIC_CENTER,69321,2021,1396280,1,2021/11/17 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,62,CHOQUE FRENTE/LADO,40,CHOQUE,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,BULNES,0,SALVADOR ALLENDE,BULNES - SALVADOR ALLENDE,0, , , , ,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
-7807128.37016239,-2299129.12912992,837,15368,1382096,-70.1326274,-20.2201508,258,IQUIQUE,1,41005,2021,1382096,REGION TARAPACA,1101,IQUIQUE,BERNARDO O'HIGGINS, ,2280,"BERNARDO O'HIGGINS 2280, IQUIQUE",CHILE,RANGE_INTERPOLATED,56264,2021,1382096,1,2021/09/27 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,51,CHOQUE FRONTAL,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,BERNARDO O'HIGGINS,0, ,- BERNARDO O'HIGGINS,2280, , , , ,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,1
-7807128.37016239,-2299129.12912992,838,15369,1382687,-70.1326274,-20.2201508,258,IQUIQUE,1,41234,2021,1382687,REGION TARAPACA,1101,IQUIQUE,BERNARDO O'HIGGINS, ,2280,"BERNARDO O'HIGGINS 2280, IQUIQUE",CHILE,RANGE_INTERPOLATED,56550,2021,1382687,1,2021/09/28 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,33,COLISION POR ALCANCE,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,11,ADELANTAMIENTO SIN EL ESPACIO O TIEMPO SUFICIENTE,0,BERNARDO O'HIGGINS,0, ,- BERNARDO O'HIGGINS,2280, , , , ,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
-7807523.97736877,-2299126.40062844,839,15370,1349758,-70.1361812,-20.2201278,258,IQUIQUE,1,18446,2021,1349758,REGION TARAPACA,1101,IQUIQUE,BULNES,GENARO GALLO,0,"BULNES & GENARO GALLO, IQUIQUE",CHILE,GEOMETRIC_CENTER,25382,2021,1349758,1,2021/05/17 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,34,COLISION PERPENDICULAR,30,COLISION,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,10,DESOBEDIENCIA A SEÑALIZACION,62,SEÑALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO,0,BULNES,0,GENARO GALLO,BULNES - GENARO GALLO,0, , , , ,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,1
-7807523.97736877,-2299126.40062844,840,15371,1378012,-70.1361812,-20.2201278,258,IQUIQUE,1,37938,2021,1378012,REGION TARAPACA,1101,IQUIQUE,BULNES,GENARO GALLO,0,"BULNES & GENARO GALLO, IQUIQUE",CHILE,GEOMETRIC_CENTER,52134,2021,1378012,1,2021/09/09 00:00:00+00,1899/12/30 00:00:00+00,1,REGION TARAPACA,1101,IQUIQUE,34,COLISION PERPENDICULAR,30,COLISION,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,10,DESOBEDIENCIA A SEÑALIZACION,62,SEÑALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO,0,BULNES,0,GENARO GALLO,BULNES - GENARO GALLO,0, , , , ,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
