X,Y,FID,Ano,Idaccident,Codregion,Region,Comuna,Zona,Calle1,Calle2,Numero,lat,lng,Claseaccid,Fecha,Cód_Comun,Cód_Tipo_,Tipo_Accid,Cód_Tipo1,Tipo__CONA,Cód_Zona,Cód_Ubica,Ubicación,Cód_Causa,Causa__CON,Cód_Cau_1,Causa,Pistas_de_,Pistas_de1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Cód_Estad,Estado_Cal,Cód_Condi,Condición,Cód_Est_1,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,hora1
-70.131683,-20.244516,1338,2019,1243017,1,REGION TARAPACA,IQUIQUE,URBANA,MANUEL CASTRO RAMOS,RANCAGUA,NULL,-20.244516,-70.131683,1,2019/11/24 00:00:00+00,1101,99,OTRO TIPO,99,OTRO TIPO,1,1,TRAMO DE VIA RECTA,9,PERDIDA CONTROL VEHICULO,95,PERDIDA CONTROL VEHICULO,1,1,2,BIDIRECCIONAL,2,ASFALTO,3,MALO,1,SECO,1,DESPEJADO,0,0,0,0,23:30:00
-70.131683,-20.244516,1339,2019,1247409,1,REGION TARAPACA,IQUIQUE,URBANA,MANUEL CASTRO RAMOS,RANCAGUA,NULL,-20.244516,-70.131683,1,2019/11/25 00:00:00+00,1101,34,COLISION PERPENDICULAR,30,COLISION,1,15,CRUCE CON SEÑAL CEDA EL PASO,10,DESOBEDIENCIA A SEÑALIZACION,64,SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO,1,1,2,BIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,07:50:00
-70.133408,-20.244864,1340,2019,1232694,1,REGION TARAPACA,IQUIQUE,URBANA,MANUEL CASTRO RAMOS,SALVADOR ALLENDE GOSSENS,NULL,-20.244864,-70.133408,1,2019/10/04 00:00:00+00,1101,32,COLISION LATERAL,30,COLISION,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,32,NO RESPETAR DERECHO PREFERENTE DE PASO A VEHICULO,2,2,2,BIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,19:20:00
-70.133408,-20.244864,1341,2019,1239564,1,REGION TARAPACA,IQUIQUE,URBANA,SALVADOR ALLENDE GOSSENS,MANUEL CASTRO RAMOS,NULL,-20.244864,-70.133408,1,2019/11/07 00:00:00+00,1101,52,CHOQUE LATERAL,40,CHOQUE,1,14,CRUCE CON SEÑAL PARE,10,DESOBEDIENCIA A SEÑALIZACION,65,SEÑALIZACION DESOBEDECER SEÑAL PARE,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,18:30:00
-70.133408,-20.244864,1342,2019,1193363,1,REGION TARAPACA,IQUIQUE,URBANA,SALVADOR ALLENDE GOSSENS,MANUEL CASTRO RAMOS,NULL,-20.244864,-70.133408,1,2019/04/23 00:00:00+00,1101,32,COLISION LATERAL,30,COLISION,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,11,ADELANTAMIENTO SIN EL ESPACIO Y TIEMPO SUFICIENTE,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,07:50:00
-70.126732,-20.244253,1343,2019,1196590,1,REGION TARAPACA,IQUIQUE,URBANA,TAMARUGAL,MANUEL CASTRO RAMOS,NULL,-20.244253,-70.126732,1,2019/05/06 00:00:00+00,1101,20,CAIDA,20,CAIDA,1,1,TRAMO DE VIA RECTA,3,IMPRUDENCIA DEL PASAJERO,43,IMPRUDENCIA DEL PASAJERO,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,17:30:00
-70.126732,-20.244253,1344,2019,1208117,1,REGION TARAPACA,IQUIQUE,URBANA,TAMARUGAL,MANUEL CASTRO RAMOS,NULL,-20.244253,-70.126732,1,2019/07/05 00:00:00+00,1101,50,CHOQUE,40,CHOQUE,1,1,TRAMO DE VIA RECTA,9,PERDIDA CONTROL VEHICULO,95,PERDIDA CONTROL VEHICULO,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,2,NUBLADO,0,0,0,1,11:30:00
-70.139137,-20.245171,1345,2019,1165794,1,REGION TARAPACA,IQUIQUE,URBANA,SAGASCA,MANUEL PLAZA,NULL,-20.245171,-70.139137,1,2019/01/31 00:00:00+00,1101,10,ATROPELLO,10,ATROPELLO,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,93,CONDUCIR VEHICULO EN RETROCESO,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,11:25:00
-70.140747,-20.223701,1346,2019,1247392,1,REGION TARAPACA,IQUIQUE,URBANA,MANUEL RODRIGUEZ,OSCAR BONILLA,NULL,-20.223701,-70.140747,1,2019/11/22 00:00:00+00,1101,65,CHOQUE LADO/LADO,40,CHOQUE,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,17:00:00
-70.13517,-20.223946,1347,2019,1231998,1,REGION TARAPACA,IQUIQUE,URBANA,SALVADOR ALLENDE GOSSENS,MANUEL RODRIGUEZ,NULL,-20.223946,-70.13517,1,2019/09/27 00:00:00+00,1101,33,COLISION POR ALCANCE,30,COLISION,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,28,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,2,2,3,BIDIRECCIONAL CON BANDEJON,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,10:45:00
-70.149261,-20.223337,1348,2019,1208979,1,REGION TARAPACA,IQUIQUE,URBANA,MANUEL RODRIGUEZ,VIVAR,NULL,-20.223337,-70.149261,1,2019/06/26 00:00:00+00,1101,20,CAIDA,20,CAIDA,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,07:30:00
-70.149261,-20.223337,1349,2019,1244891,1,REGION TARAPACA,IQUIQUE,URBANA,MANUEL RODRIGUEZ,VIVAR,NULL,-20.223337,-70.149261,1,2019/11/15 00:00:00+00,1101,63,CHOQUE FRENTE/POSTERIOR,40,CHOQUE,1,11,CRUCE CON SEMAFORO FUNCIONANDO,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,09:30:00
-70.133415,-20.200939,1350,2019,1160169,1,REGION TARAPACA,IQUIQUE,URBANA,MANZANA 4,SITIO 28,NULL,-20.200939,-70.133415,1,2019/01/07 00:00:00+00,1101,64,CHOQUE LADO/FRENTE,40,CHOQUE,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,28,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,17:20:00
-70.134834,-20.20488,1351,2019,1165269,1,REGION TARAPACA,IQUIQUE,URBANA,OFICINA SALITRERA VICTORIA,MAPOCHO,NULL,-20.20488,-70.134834,1,2019/01/28 00:00:00+00,1101,61,CHOQUE FRENTE/FRENTE,40,CHOQUE,1,1,TRAMO DE VIA RECTA,4,ALCOHOL EN CONDUCTOR,24,CONDUCCION EN ESTADO DE EBRIEDAD,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,15:40:00
-70.135788,-20.202902,1352,2019,1178347,1,REGION TARAPACA,IQUIQUE,URBANA,MAPOCHO,STA CRUZ,NULL,-20.202902,-70.135788,1,2019/03/18 00:00:00+00,1101,67,CHOQUE POSTERIOR/FRENTE,40,CHOQUE,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,15:30:00
-70.126595,-20.278517,1353,2019,1180575,1,REGION TARAPACA,IQUIQUE,URBANA,REINAMAR,MAR MEDITERRANEO,NULL,-20.278517,-70.126595,1,2019/03/28 00:00:00+00,1101,63,CHOQUE FRENTE/POSTERIOR,40,CHOQUE,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,11:30:00
-70.131584,-20.225863,1354,2019,1200825,1,REGION TARAPACA,IQUIQUE,URBANA,MARGARITA NARANJO,PROGRESO,NULL,-20.225863,-70.131584,1,2019/05/31 00:00:00+00,1101,10,ATROPELLO,10,ATROPELLO,1,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,31,NO RESPETAR DERECHO PREFERENTE DE PASO A PEATON,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,2,14:00:00
-70.131584,-20.225863,1355,2019,1222392,1,REGION TARAPACA,IQUIQUE,URBANA,PROGRESO,MARGARITA NARANJO,NULL,-20.225863,-70.131584,1,2019/08/13 00:00:00+00,1101,34,COLISION PERPENDICULAR,30,COLISION,1,15,CRUCE CON SEÑAL CEDA EL PASO,10,DESOBEDIENCIA A SEÑALIZACION,64,SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO,2,0,1,UNIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,16:14:00
-70.13221,-20.237936,1356,2019,1173662,1,REGION TARAPACA,IQUIQUE,URBANA,RANCAGUA,MAULE,NULL,-20.237936,-70.13221,1,2019/03/03 00:00:00+00,1101,34,COLISION PERPENDICULAR,30,COLISION,1,15,CRUCE CON SEÑAL CEDA EL PASO,4,ALCOHOL EN CONDUCTOR,24,CONDUCCION EN ESTADO DE EBRIEDAD,1,1,2,BIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,14:40:00
-70.13221,-20.237936,1357,2019,1226725,1,REGION TARAPACA,IQUIQUE,URBANA,RANCAGUA,MAULE,NULL,-20.237936,-70.13221,1,2019/09/16 00:00:00+00,1101,30,COLISION,30,COLISION,1,14,CRUCE CON SEÑAL PARE,10,DESOBEDIENCIA A SEÑALIZACION,65,SEÑALIZACION DESOBEDECER SEÑAL PARE,2,2,2,BIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,09:30:00
