X,Y,FID,COD_REG,REGION,CUT,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,LAT,LNG,VAL_COM,TIPO,Año,IdAccident,Fecha,TipoAccdte,Tipo_Accdt,Tipo__CONA,Zona,Causa,Causa__CON,Calzada,TipoCalzad,EstadoCalz,CondicionC,Estado_Adm,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Hora
-70.1331312,-20.2008047,13,1,REGION TARAPACA,1101,IQUIQUE,AVDA. CIRCUNVALACION,SANTA ROSA DE HUARA,0,"Oficina Sta. Rosa de Huara & Av. Circunvalación, Iquique, Tarapacá, Chile",-20.2008047,-70.1331312,1,GEOMETRIC_CENTER,2018,1100227,2018/05/16 00:00:00+00,52,CHOQUE LATERAL,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,2,19:50:00
-70.1438746,-20.2416754,14,1,REGION TARAPACA,1101,IQUIQUE,ARTURO PRAT CHACON,AEROPUERTO,0,"Avenida Arturo Prat Chacón & Aeropuerto, Iquique, Tarapacá, Chile",-20.2416754,-70.1438746,1,GEOMETRIC_CENTER,2018,1100238,2018/05/16 00:00:00+00,32,COLISION LATERAL,COLISION,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,2,19:20:00
-70.1293437,-20.2444949,15,1,REGION TARAPACA,1101,IQUIQUE,MANUEL CASTRO RAMOS, ,3435,"Manuel Castro Ramos 3435, Iquique, Tarapacá, Chile",-20.2444949,-70.1293437,1,RANGE_INTERPOLATED,2018,1156279,2018/12/26 00:00:00+00,67,CHOQUE POSTERIOR/FRENTE,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,2,01:25:00
-70.0986734,-20.2637153,16,1,REGION TARAPACA,1107,ALTO HOSPICIO,LOS ALAMOS,TENIENTE HERNAN MERINO CORREA,0,"Av. los Alamos & Av. Teniente Hernán Merino Correa, Alto Hospicio, Tarapacá, Chile",-20.2637153,-70.0986734,1,GEOMETRIC_CENTER,2018,1100449,2018/05/15 00:00:00+00,63,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANO,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL CON BANDEJON,ASFALTO,REGULAR,SECO,DESPEJADO,0,0,0,1,1,07:45:00
-70.0969386,-20.2798006,17,1,REGION TARAPACA,1107,ALTO HOSPICIO,SANTA JIMENA,SANTA PAULA,0,"santa jimena 3951 alto hopicio, Alto Hospicio, Tarapacá, Chile",-20.2798006,-70.0969386,1,GEOMETRIC_CENTER,2018,1100454,2018/05/15 00:00:00+00,67,CHOQUE POSTERIOR/FRENTE,CHOQUE,URBANO,"VEHICULO EN RETROCESO, CONDUCIR",IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,REGULAR,HUMEDO,DESPEJADO,0,0,0,0,2,07:50:00
-70.1445383,-20.2102667,18,1,REGION TARAPACA,1101,IQUIQUE,VIDELA,JUAN MARTINEZ,0,"Videla & Juan Martínez, Iquique, Tarapacá, Chile",-20.2102667,-70.1445383,1,GEOMETRIC_CENTER,2018,1100506,2018/05/17 00:00:00+00,52,CHOQUE LATERAL,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,1,13:30:00
-70.1361448,-20.2335869,19,1,REGION TARAPACA,1101,IQUIQUE,AVDA. SALVADOR ALLENDE,EJERCITO DE CHILE,0,"Ejército de Chile & Avenida Salvador Allende Gossens, Iquique, Tarapacá, Chile",-20.2335869,-70.1361448,1,GEOMETRIC_CENTER,2018,1100509,2018/05/17 00:00:00+00,63,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,1,20:30:00
-70.1528536,-20.2117876,20,1,REGION TARAPACA,1101,IQUIQUE,JORGE BARRERA,AVDA. ARTURO PRAT,0,"Avenida Arturo Prat Chacón & Jorge Barrera, Iquique, Tarapacá, Chile",-20.2117876,-70.1528536,1,GEOMETRIC_CENTER,2018,1100516,2018/05/17 00:00:00+00,32,COLISION LATERAL,COLISION,URBANO,"SEÑALIZACION, DESOBEDECER SEÑAL CEDA EL PASO",DESOBEDIENCIA A SEÑALIZACION,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,2,17:30:00
-70.0953563,-20.2697311,21,1,REGION TARAPACA,1107,ALTO HOSPICIO,TENIENTE HERNAN MERINO CORREA, ,3115,"Av. Teniente Hernán Merino Correa 3115, Alto Hospicio, Tarapacá, Chile",-20.2697311,-70.0953563,1,RANGE_INTERPOLATED,2018,1100709,2018/05/18 00:00:00+00,63,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL,ASFALTO,REGULAR,HUMEDO,DESPEJADO,0,0,0,0,1,08:00:00
-70.1257417,-20.2691828,22,1,REGION TARAPACA,1101,IQUIQUE,AVDA. LA TIRANA,AVDA. FRANCISCO BILBAO,0,"Av. Francisco Bilbao & Av. la Tirana, Iquique, Tarapacá, Chile",-20.2691828,-70.1257417,1,GEOMETRIC_CENTER,2018,1100916,2018/05/17 00:00:00+00,33,COLISION POR ALCANCE,COLISION,URBANO,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,2,2,08:50:00
-70.1407861,-20.2440011,23,1,REGION TARAPACA,1101,IQUIQUE,ARTURO PRAT CHACON, ,2120,"Av. Arturo Prat Chacón 2120, Iquique, Tarapacá, Chile",-20.2440011,-70.1407861,1,ROOFTOP,2018,1100945,2018/05/18 00:00:00+00,63,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,IMPRUDENCIA DEL CONDUCTOR,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,2,08:00:00
-70.1436951,-20.2188278,24,1,REGION TARAPACA,1101,IQUIQUE,OHIGGINS,ERRAZURIS,0,"Presidente Errázuriz & Bernardo OHiggins, Iquique, Tarapacá, Chile",-20.2188278,-70.1436951,1,GEOMETRIC_CENTER,2018,1100946,2018/05/18 00:00:00+00,63,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANO,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,REGULAR,SECO,DESPEJADO,0,0,0,0,1,19:00:00
-70.14781,-20.2243764,25,1,REGION TARAPACA,1101,IQUIQUE,CESPEDES Y GONZALEZ,BARROS ARANA,0,"Céspedes y González & Barros Arana, Iquique, Tarapacá, Chile",-20.2243764,-70.14781,1,GEOMETRIC_CENTER,2018,1101134,2018/05/18 00:00:00+00,32,COLISION LATERAL,COLISION,URBANO,"SEÑALIZACION, DESOBEDECER SEÑAL PARE",DESOBEDIENCIA A SEÑALIZACION,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,2,15:00:00
-70.126604,-20.2449594,26,1,REGION TARAPACA,1101,IQUIQUE,TAMARUGAL, ,3014,"Tamarugal 3014, Iquique, Tarapacá, Chile",-20.2449594,-70.126604,1,ROOFTOP,2018,1101160,2018/05/19 00:00:00+00,32,COLISION LATERAL,COLISION,URBANO,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,IMPRUDENCIA DEL CONDUCTOR,UNIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0,1,17:05:00
