Fecha,Hora,Comuna,Accdtes.,Causas,Muertos,Graves,Menos Graves,Leves,Ilesos,Urbano/Rural,Calleuno,Calledos,Frentenumero,Ruta,Ubicación km,Direccion,Latitud,Longitud
01/01/2010,2:54,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,0,URBANO,PEDRO PRADO,ORELLA,,,,"IQUIQUE, PEDRO PRADO, ORELLA",-20.2212841,-70.1348904
01/01/2010,4:14,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,0,URBANO,Avenida La Tirana,CALLE 6,,,,"IQUIQUE, Avenida La Tirana CALLE 6",-20.2543166,-70.1260602
02/01/2010,21:39,IQUIQUE,Atropello,No respetar derecho preferente de paso a peatón,0,0,1,0,1,URBANO,JUAN MARTINEZ,SARGENTO ALDEA,,,,"IQUIQUE, JUAN MARTINEZ, SARGENTO ALDEA",-20.2160713,-70.1451094
03/01/2010,11:30,PICA,Volcadura,Perdida control vehículo,0,0,0,0,1,RURAL,CAMINO PRIVADO MINERA COLLAHUASI,,24,,,"PICA, CAMINO PRIVADO MINERA COLLAHUASI, 24",-20.9814192,-68.6379674
03/01/2010,16:50,IQUIQUE,Choque,No respetar derecho preferente de paso a peatón,0,0,0,0,1,URBANO,THOMPSON,OSCAR BONILLA,,,,"IQUIQUE, THOMPSON, OSCAR BONILLA",-20.2154831,-70.1401029
03/01/2010,22:15,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,THOMPSON,VIVAR,,,,"IQUIQUE, THOMPSON, VIVAR",-20.2148742,-70.1485661
04/01/2010,11:15,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,RAMIREZ,,1270,,,"IQUIQUE, RAMIREZ, 1270",-20.2202073,-70.1494388
05/01/2010,22:30,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,RANCAGUA,CACHARPAYAS,,,,"IQUIQUE, RANCAGUA, CACHARPAYAS",-20.2350388,-70.1325303
06/01/2010,1:20,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,RAMIREZ,,1162,,,"IQUIQUE, RAMIREZ, 1162",-20.2191755,-70.1493946
06/01/2010,19:00,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,ERRAZURIS,THOMPSON,,,,"IQUIQUE, ERRAZURIS, THOMPSON",-20.2152505,-70.1435156
06/01/2010,19:15,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,1,0,0,1,URBANO,RAMIREZ,GOROSTIAGA,,,,"IQUIQUE, RAMIREZ, GOROSTIAGA",-20.2168749,-70.1494213
06/01/2010,23:10,IQUIQUE,Colisión,"Señalización, desobedecer señal ceda el paso",0,0,0,4,2,URBANO,18 DE SEPTIEMBRE,LIBERTAD,,,,"IQUIQUE, 18 DE SEPTIEMBRE, LIBERTAD",-20.2307033,-70.1356692
07/01/2010,14:30,ALTO HOSPICIO,Atropello,"Señalización, desobedecer luz roja de semáforo",0,0,1,0,0,URBANO,Avenida Los Alamos CON Ramon Perez Opazo,,2500,,,"ALTO HOSPICIO, Avenida Los Alamos CON Ramon Perez Opazo 2500",-20.2740456,-70.1008643
07/01/2010,19:19,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,Arturo Prat,AEROPUERTO,,,,"IQUIQUE, Avenida Arturo Prat AEROPUERTO",-20.244478,-70.1410328
08/01/2010,16:30,IQUIQUE,Colisión,"Señalización, desobedecer luz roja de semáforo",0,0,0,1,2,URBANO,Tadeo Haenke,GENARO GALLO,,,,"IQUIQUE, Tadeo Haenke GENARO GALLO",-20.2394749,-70.1403552
08/01/2010,22:36,IQUIQUE,Volcadura,"Señalización, desobedecer señal ceda el paso",0,1,0,1,0,URBANO,la torre,21 de mayo,,,,"IQUIQUE, la torre, 21 de mayo",-20.2307033,-70.1356692
09/01/2010,9:55,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,OSCAR BONILLA,DIEGO PORTALES,,,,"IQUIQUE, OSCAR BONILLA, DIEGO PORTALES",-20.2297964,-70.1422898
09/01/2010,19:00,ALTO HOSPICIO,Atropello,"Vehiculo en retroceso, conducir",0,0,0,1,0,URBANO,Avenida LOS CONODRES CON TARAPACA,,2380,,,"ALTO HOSPICIO, Avenida LOS CONODRES CON TARAPACA, 2380",-20.2758634,-70.0977978
10/01/2010,4:20,IQUIQUE,Colisión,Conducción en estado de ebriedad,0,0,2,2,0,URBANO,OHIGGINS,VIVAR,,,,"IQUIQUE, OHIGGINS, VIVAR",-20.218536,-70.1488892
11/01/2010,1:00,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,Avenida CHIPANA,,,,,"IQUIQUE, Avenida CHIPANA",-20.2414367,-70.1342598
11/01/2010,10:30,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,1,1,URBANO,Avenida Arturo Prat,,,,,"IQUIQUE, Avenida Arturo Prat",-20.244478,-70.1410328
11/01/2010,12:10,IQUIQUE,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,1,1,URBANO,OBISPO LABBE,MANUEL RODRIGUEZ,,,,"IQUIQUE, OBISPO LABBE, MANUEL RODRIGUEZ",-20.2233179,-70.1505699
11/01/2010,20:30,ALTO HOSPICIO,Atropello,"Vehiculo en retroceso, conducir",0,0,0,1,1,URBANO,Avenida LOS CONDORES CON LA GRANJA,,3290,,,"ALTO HOSPICIO, Avenida LOS CONDORES CON LA GRANJA, 3290",-20.2719484,-70.1029629
11/01/2010,21:40,ALTO HOSPICIO,Atropello,"Peatón, cruza calzada forma sorpresiva o descuidada",0,0,1,0,1,URBANO,Avenida Las Americas CON CARMELA CARVAJAL,,2900,,,"ALTO HOSPICIO, Avenida Las Americas CON CARMELA CARVAJAL, 2900",-20.2800542,-70.1007563
12/01/2010,14:00,ALTO HOSPICIO,Atropello,"Peatón, cruza calzada forma sorpresiva o descuidada",0,0,1,1,0,URBANO,PASAJE SAN FRANCISCO,,4151,,,"ALTO HOSPICIO, PASAJE SAN FRANCISCO, 4151",-20.278689,-70.0910657
12/01/2010,20:20,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,1,URBANO,gomez carreño,,,,,"IQUIQUE, gomez carreño",-20.2333352,-70.1324357
13/01/2010,2:40,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,Avenida Arturo Prat,,,,,"IQUIQUE, Avenida Arturo Prat",-20.244478,-70.1410328
14/01/2010,15:50,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,2,URBANO,HEROES Heroes de la Concepcion,CESPEDES Y GONZALEZ,,,,"IQUIQUE, HEROES Heroes de la Concepcion CESPEDES Y GONZALEZ",-20.2249237,-70.13966
15/01/2010,12:25,ALTO HOSPICIO,Atropello,No respetar derecho preferente de paso a peatón,0,0,1,0,1,URBANO,LOS MANZANOS CON Los Alamos,,2590,,,"ALTO HOSPICIO, LOS MANZANOS CON Los Alamos 2590",-20.2686722,-70.1049169
15/01/2010,18:00,IQUIQUE,Choque,"Fallas mecánicas, dirección",0,0,0,2,3,URBANO,Tadeo Haenke,Cerro Dragón,,,,"IQUIQUE, Tadeo Haenke Cerro Dragón",-20.2386682,-70.1296108
16/01/2010,8:00,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,LOS RIELES,ORELLA,,,,"IQUIQUE, LOS RIELES, ORELLA",-20.2208235,-70.1432206
17/01/2010,1:35,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,1,0,1,URBANO,EMILIO RECABARREN,Arturo Prat,,,,"IQUIQUE, EMILIO RECABARREN, Avenida Arturo Prat",-20.244478,-70.1410328
17/01/2010,15:45,ALTO HOSPICIO,Choque,Conducción no atento condiciones transito momento,0,0,2,0,2,URBANO,Avenida Las Americas CON PAULA JARAQUEMADA,,2890,,,"ALTO HOSPICIO, Avenida Las Americas CON PAULA JARAQUEMADA, 2890",-20.2828255,-70.1020691
18/01/2010,17:00,ALTO HOSPICIO,Atropello,Causas no determinadas,0,0,0,2,0,URBANO,Avenida Los Alamos CON LOS NOGALES,,3200,,,"ALTO HOSPICIO, Avenida Los Alamos CON LOS NOGALES, 3200",-20.2662507,-70.1025442
18/01/2010,17:35,IQUIQUE,Colisión,Perdida control vehículo,0,0,0,1,1,URBANO,HEROES Heroes de la Concepcion,DIEGO PORTALES,,,,"IQUIQUE, HEROES Heroes de la Concepcion DIEGO PORTALES",-20.2300539,-70.1409672
19/01/2010,16:50,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,1,2,URBANO,PEDRO PRADO,,2520,,,"IQUIQUE, PEDRO PRADO, 2520",-20.2355547,-70.1363476
20/01/2010,5:45,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,3,2,URBANO,OHHIGGINS,OBISPO LABBE,,,,"IQUIQUE, OHHIGGINS, OBISPO LABBE",-20.2184392,-70.1503783
21/01/2010,12:50,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,1,URBANO,VIVAR,SARGENTE ALDEA,,,,"IQUIQUE, VIVAR, SARGENTE ALDEA",-20.2159485,-70.1486532
21/01/2010,14:00,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,3,URBANO,DIEGO PORTALES,Avenida  PRAT,,,,"IQUIQUE, DIEGO PORTALES, Avenida PRAT",-20.2414367,-70.1342598
22/01/2010,13:50,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,1,URBANO,PROGRESO,,1926,,,"IQUIQUE, PROGRESO, 1926",-20.2272577,-70.1321482
22/01/2010,22:50,IQUIQUE,Atropello,"Peatón, cruza calzada forma sorpresiva o descuidada",0,0,0,1,1,URBANO,18 dfe septiembre,diego portales,,,,"IQUIQUE, 18 dfe septiembre, diego portales",-20.2306665,-70.1371297
23/01/2010,12:00,IQUIQUE,Colisión,"Señalización, desobedecer señal ceda el paso",0,0,0,3,1,URBANO,FARNCISCO BILBAO,BALMACEDA,,,,"IQUIQUE, Avenida Fransisco Bilbao BALMACEDA",-20.2617337,-70.1290955
24/01/2010,16:50,ALTO HOSPICIO,Colisión,Conducción contra sentido del transito,0,0,0,2,2,URBANO,LOS NOGALES,,3100,,,"ALTO HOSPICIO, LOS NOGALES, 3100",-20.2669704,-70.0993167
24/01/2010,18:40,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,LIBERTAD,OSCAR BONILLA,,,,"IQUIQUE, LIBERTAD, OSCAR BONILLA",-20.2194645,-70.1403842
25/01/2010,10:50,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,2,URBANO,Avenida Arturo Prat,DIEGO PORTALES,,,,"IQUIQUE, Avenida Arturo Prat DIEGO PORTALES",-20.244478,-70.1410328
26/01/2010,15:50,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,FRESIA,,231,,,"IQUIQUE, FRESIA, 231",-20.2280658,-70.1358063
26/01/2010,19:15,POZO ALMONTE,Volcadura,Perdida control vehículo,0,0,0,1,1,URBANO,INTERNA QUEBRADA BLANCA,,62,,,"POZO ALMONTE, INTERNA QUEBRADA BLANCA, 62",-20.2570503,-69.7857064
26/01/2010,22:45,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,1,1,0,URBANO,Tadeo Haenke,HEROES Heroes de la Concepcion,,,,"IQUIQUE, Tadeo Haenke HEROES Heroes de la Concepcion",-20.2405381,-70.1447578
28/01/2010,1:15,IQUIQUE,Colisión,"Fallas mecánicas, eléctrico",0,0,0,2,0,URBANO,GENARO GALLO,Avenida PLAYA BRAVA,,,,"IQUIQUE, GENARO GALLO, Avenida PLAYA BRAVA",-20.2422792,-70.1413978
28/01/2010,2:15,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,1,2,URBANO,CESPEDES Y GONZALEZ,AMUNATEGUI,,,,"IQUIQUE, CESPEDES Y GONZALEZ, AMUNATEGUI",-20.2244134,-70.14698
28/01/2010,22:30,ALTO HOSPICIO,Atropello,"Peatón, ebriedad del",0,1,0,0,1,URBANO,Avenida COSTANERA,,3234,,,"ALTO HOSPICIO, Avenida COSTANERA, 3234",-20.2686722,-70.1049169
29/01/2010,0:45,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,3,0,0,URBANO,PEDRO PRADO,,2380,,,"IQUIQUE, PEDRO PRADO, 2380",-20.2316357,-70.1354618
29/01/2010,9:31,POZO ALMONTE,Otros,Causas no determinadas,0,0,0,0,2,URBANO,calle peña chica,,256,,,"POZO ALMONTE, calle peña chica, 256",-20.2654028,-69.7831943
30/01/2010,0:45,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,0,URBANO,Circunvalación,SOTOMAYOR,,,,"IQUIQUE, Circunvalación SOTOMAYOR",-20.2111333,-70.1416166
30/01/2010,20:00,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,1,0,0,1,URBANO,Tadeo Haenke,PEDRO PRADO,,,,"IQUIQUE, Tadeo Haenke PEDRO PRADO",-20.2414031,-70.1341858
31/01/2010,21:10,IQUIQUE,Atropello,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,JUAN GIRAOS,,1649,,,"IQUIQUE, JUAN GIRAOS, 1649",-20.2414367,-70.1342598
01/02/2010,12:55,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,HEROES Heroes de la Concepcion,,2555,,,"IQUIQUE, HEROES Heroes de la Concepcion 2555",-20.2126288,-70.1385179
02/02/2010,13:26,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,Circunvalación,MANZANA 5,,,,"IQUIQUE, Circunvalación MANZANA 5",-20.230544,-70.129033
03/02/2010,16:10,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,MAULE,LAS CARPAS,,,,"IQUIQUE, MAULE, LAS CARPAS",-20.2374095,-70.1293885
03/02/2010,19:30,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,5,0,URBANO,Salvador Allende,Ramon Perez Opazo,,,,"IQUIQUE, Salvador Allende Ramon Perez Opazo",-20.2542691,-70.1314071
